Taxon,Taxon Aphia ID,Soniferous Category,Reference Aphia ID,Notes
Acestridium discus,1017674,Likely to produce sound under natural conditions but unconfirmed,452075,
Acestridium gymnogaster,1008223,Likely to produce sound under natural conditions but unconfirmed,452075,
Acestridium martini,1010314,Likely to produce sound under natural conditions but unconfirmed,452075,
Acestridium scutatum,1008224,Likely to produce sound under natural conditions but unconfirmed,452075,
Acestridium triplax,1008650,Likely to produce sound under natural conditions but unconfirmed,452075,
Acestrocephalus acutus,1008855,Likely to produce sound under natural conditions but unconfirmed,452075,
Acestrocephalus anomalus,1466506,Likely to produce sound under natural conditions but unconfirmed,452075,
Acestrocephalus boehlkei,1012665,Likely to produce sound under natural conditions but unconfirmed,452075,
Acestrocephalus maculosus,1008857,Likely to produce sound under natural conditions but unconfirmed,452075,
Acestrocephalus nigrifasciatus,1008854,Likely to produce sound under natural conditions but unconfirmed,452075,
Acestrocephalus pallidus,1008856,Likely to produce sound under natural conditions but unconfirmed,452075,
Acestrocephalus sardina,1010237,Likely to produce sound under natural conditions but unconfirmed,452075,
Acestrocephalus stigmatus,1008858,Likely to produce sound under natural conditions but unconfirmed,452075,
Acestrorhynchus abbreviatus,1423173,Does not or is unlikely to produce sound under natural conditions,452075,
Acestrorhynchus altus,1013220,Does not or is unlikely to produce sound under natural conditions,452075,
Acestrorhynchus britskii,1013218,Does not or is unlikely to produce sound under natural conditions,452075,
Acestrorhynchus falcatus,874265,Does not or is unlikely to produce sound under natural conditions,452075,
Acestrorhynchus falcirostris,1417992,Does not or is unlikely to produce sound under natural conditions,452075,
Acestrorhynchus grandoculis,1012127,Does not or is unlikely to produce sound under natural conditions,452075,
Acestrorhynchus heterolepis,1423145,Does not or is unlikely to produce sound under natural conditions,452075,
Acestrorhynchus isalineae,1012125,Does not or is unlikely to produce sound under natural conditions,452075,
Acestrorhynchus lacustris,1391243,Does not or is unlikely to produce sound under natural conditions,452075,
Acestrorhynchus maculipinna,1012126,Does not or is unlikely to produce sound under natural conditions,452075,
Acestrorhynchus microlepis,1010773,Does not or is unlikely to produce sound under natural conditions,452075,
Acestrorhynchus minimus,1013219,Does not or is unlikely to produce sound under natural conditions,452075,
Acestrorhynchus nasutus,1017511,Does not or is unlikely to produce sound under natural conditions,452075,
Acestrorhynchus pantaneiro,1008679,Does not or is unlikely to produce sound under natural conditions,452075,
Acheilognathus asmussii,1020529,Likely to produce sound under natural conditions but unconfirmed,452075,
Acheilognathus barbatulus,1014925,Likely to produce sound under natural conditions but unconfirmed,452075,
Acheilognathus barbatus,1016229,Likely to produce sound under natural conditions but unconfirmed,452075,
Acheilognathus binidentatus,1009909,Likely to produce sound under natural conditions but unconfirmed,452075,
Acheilognathus brevicaudatus,1524136,Likely to produce sound under natural conditions but unconfirmed,452075,
Acheilognathus changtingensis,1384596,Likely to produce sound under natural conditions but unconfirmed,452075,
Acheilognathus coreanus,1467854,Likely to produce sound under natural conditions but unconfirmed,452075,
Acheilognathus cyanostigma,1017837,Likely to produce sound under natural conditions but unconfirmed,452075,
Acheilognathus deignani,1014434,Likely to produce sound under natural conditions but unconfirmed,452075,
Acheilognathus elongatoides,1009922,Likely to produce sound under natural conditions but unconfirmed,452075,
Acheilognathus elongatus,1017027,Likely to produce sound under natural conditions but unconfirmed,452075,
Acheilognathus fasciodorsalis,1009902,Likely to produce sound under natural conditions but unconfirmed,452075,
Acheilognathus gracilis,1013567,Likely to produce sound under natural conditions but unconfirmed,452075,
Acheilognathus hondae,1525907,Likely to produce sound under natural conditions but unconfirmed,452075,
Acheilognathus hypselonotus,1020565,Likely to produce sound under natural conditions but unconfirmed,452075,
Acheilognathus imberbis,1421319,Likely to produce sound under natural conditions but unconfirmed,452075,
Acheilognathus imfasciodorsalis,1009903,Likely to produce sound under natural conditions but unconfirmed,452075,
Acheilognathus intermedia,1021973,Likely to produce sound under natural conditions but unconfirmed,452075,
Acheilognathus kyphus,1524301,Likely to produce sound under natural conditions but unconfirmed,452075,
Acheilognathus lanchiensis,1495509,Likely to produce sound under natural conditions but unconfirmed,452075,
Acheilognathus longibarbatus,1012622,Likely to produce sound under natural conditions but unconfirmed,452075,
Acheilognathus longipinnis,1526167,Likely to produce sound under natural conditions but unconfirmed,452075,
Acheilognathus macromandibularis,1010290,Likely to produce sound under natural conditions but unconfirmed,452075,
Acheilognathus macropterus,279486,Likely to produce sound under natural conditions but unconfirmed,452075,
